mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__boosting_type,param_classifier__learning_rate,param_classifier__num_leaves,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
226.15036296844482,39.635655569578454,1.0005039691925048,0.11370902980296078,gbdt,0.01,50,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 2)}",0.71875,0.734375,0.7125,0.765625,0.771875,0.740625,0.024125323832023468,36
249.3390564918518,19.160849228706038,1.4528342723846435,0.22021464590956255,gbdt,0.01,50,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 3)}",0.71875,0.753125,0.709375,0.759375,0.759375,0.74,0.021505813167606587,37
54.37867422103882,30.50426295877394,0.3595432281494141,0.09215786532417743,gbdt,0.1,10,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 10, 'vectorizer__ngram_range': (1, 1)}",0.7875,0.85,0.846875,0.825,0.8375,0.8293750000000001,0.02267294643402133,2
57.28331809043884,7.980516508905498,0.8441474437713623,0.1421384700624697,gbdt,0.1,10,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 10, 'vectorizer__ngram_range': (1, 2)}",0.79375,0.859375,0.853125,0.828125,0.84375,0.835625,0.02343541657406586,1
94.89465126991271,3.636176346577397,1.590231990814209,0.0863187947970522,gbdt,0.1,10,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 10, 'vectorizer__ngram_range': (1, 3)}",0.790625,0.834375,0.809375,0.78125,0.85,0.813125,0.02587530193060555,15
74.70706663131713,17.298689309640704,0.44947352409362795,0.016040352294976273,gbdt,0.1,20,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 1)}",0.790625,0.840625,0.825,0.80625,0.84375,0.8212499999999998,0.02029085385093489,7
116.75444588661193,26.266212063615672,0.9395590782165527,0.12227826306336897,gbdt,0.1,20,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 2)}",0.809375,0.846875,0.834375,0.81875,0.825,0.826875,0.01289985465034396,3
159.73527092933654,19.288702909349993,1.6366961479187012,0.17273698413190453,gbdt,0.1,20,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 3)}",0.778125,0.85,0.834375,0.8125,0.853125,0.8256249999999999,0.02776857486440384,4
101.44957160949707,22.023748878326227,0.38796391487121584,0.05767078299338374,gbdt,0.1,31,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 1)}",0.78125,0.8375,0.815625,0.84375,0.8375,0.8231250000000001,0.023014940799402462,6
167.38906507492067,7.40429979163185,0.9870180130004883,0.08753629106051203,gbdt,0.1,31,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 2)}",0.778125,0.8375,0.815625,0.825,0.8375,0.8187500000000002,0.02191959739593775,8
234.70042676925658,18.724302654602614,1.6306365966796874,0.19262423400435608,gbdt,0.1,31,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 3)}",0.7875,0.828125,0.840625,0.821875,0.840625,0.8237499999999999,0.01952562418976663,5
